,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-326832480.0,480060000.0,15425888.330354,53785129.394824
Tax Rate For Calcs,0.34,0.4,0.027713,0.076397
Normalized EBITDA,1105694000.0,496923000.0,1205750000.0,739205000.0
Total Unusual Items,-961272000.0,1200150000.0,556638000.0,704022000.0
Total Unusual Items Excluding Goodwill,-961272000.0,1200150000.0,556638000.0,704022000.0
Net Income From Continuing Operation Net Minority Interest,-1300367000.0,556289000.0,619525000.0,230910000.0
Reconciled Depreciation,424995000.0,410069000.0,396748000.0,461821000.0
Reconciled Cost Of Revenue,2728555000.0,2622280000.0,3146892000.0,2936356000.0
EBITDA,144422000.0,1697073000.0,1762388000.0,1443227000.0
EBIT,-280573000.0,1287004000.0,1365640000.0,981406000.0
Net Interest Income,-1119340000.0,-998425000.0,-715950000.0,-1085174000.0
Interest Expense,974984000.0,752405000.0,728457000.0,731396000.0
Interest Income,7726000.0,,41415000.0,26326000.0
Normalized Income,-665927480.0,-163801000.0,78312888.330354,-419326870.605176
Net Income From Continuing And Discontinued Operation,-1300367000.0,556289000.0,619525000.0,230910000.0
Total Expenses,3883628000.0,3885379000.0,4123700000.0,3962397000.0
Rent Expense Supplemental,230963000.0,218633000.0,235318000.0,236950000.0
Total Operating Income As Reported,,,796495000.0,
Diluted Average Shares,1600032500.0,1600379000.0,1600133000.0,208756069.0
Basic Average Shares,1600032500.0,1599979500.0,1599750500.0,208756069.0
Diluted EPS,-6.398,0.347598,0.084,1.106124
Basic EPS,-6.398,0.347685,0.084,1.106124
Diluted NI Availto Com Stockholders,-1300367000.0,556289000.0,619525000.0,230910000.0
Net Income Common Stockholders,-1300367000.0,556289000.0,619525000.0,230910000.0
Net Income,-1300367000.0,556289000.0,619525000.0,230910000.0
Minority Interests,,,,0.0
Net Income Including Noncontrolling Interests,-1300367000.0,556289000.0,619525000.0,230910000.0
Net Income Continuous Operations,-1300367000.0,556289000.0,619525000.0,230910000.0
Tax Provision,44810000.0,-21690000.0,17658000.0,19100000.0
Pretax Income,-1255557000.0,534599000.0,637183000.0,250010000.0
Other Income Expense,-918035000.0,1272477000.0,556638000.0,570969000.0
Other Non Operating Income Expenses,43237000.0,72327000.0,,
Special Income Charges,0.0,204330000.0,,
Other Special Charges,,-204330000.0,,
Earnings From Equity Interest,,,0.0,
Gain On Sale Of Security,-961272000.0,995820000.0,556638000.0,704022000.0
Net Non Operating Interest Income Expense,-1119340000.0,-998425000.0,-715950000.0,-1085174000.0
Total Other Finance Cost,152082000.0,246020000.0,-12507000.0,353778000.0
Interest Expense Non Operating,974984000.0,752405000.0,728457000.0,731396000.0
Interest Income Non Operating,7726000.0,,41415000.0,26326000.0
Operating Income,781818000.0,260547000.0,796495000.0,764215000.0
Operating Expense,766687000.0,884438000.0,609787000.0,493984000.0
Other Operating Expenses,-60553000.0,81988000.0,-95756000.0,-313065000.0
Depreciation Amortization Depletion Income Statement,36609000.0,31408000.0,29727000.0,-70236000.0
Depreciation And Amortization In Income Statement,36609000.0,31408000.0,29727000.0,-70236000.0
Selling General And Administration,790631000.0,771042000.0,675816000.0,877285000.0
Selling And Marketing Expense,300669000.0,256984000.0,297459000.0,310228000.0
General And Administrative Expense,489962000.0,514058000.0,378357000.0,567057000.0
Other Gand A,295948000.0,317975000.0,239094000.0,360120000.0
Salaries And Wages,194014000.0,196083000.0,139263000.0,206937000.0
Gross Profit,1548505000.0,1144985000.0,1406282000.0,1258199000.0
Cost Of Revenue,3116941000.0,3000941000.0,3513913000.0,3468413000.0
Total Revenue,4665446000.0,4145926000.0,4920195000.0,4726612000.0
Excise Taxes,40185000.0,37102000.0,34095000.0,
Operating Revenue,4678803000.0,4157390000.0,4920195000.0,4726612000.0
