,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,653952.412426,730229.029804,-957182.506695,-3860979.020312
Tax Rate For Calcs,0.194977,0.147016,0.219135,0.202772
Normalized EBITDA,-43583000.0,1332000.0,-100041000.0,-21893000.0
Total Unusual Items,3354000.0,4967000.0,-4368000.0,-19041000.0
Total Unusual Items Excluding Goodwill,3354000.0,4967000.0,-4368000.0,-19041000.0
Net Income From Continuing Operation Net Minority Interest,-48720000.0,-12335000.0,-98257000.0,-50160000.0
Reconciled Cost Of Revenue,704441000.0,639018000.0,667007000.0,668881000.0
EBITDA,-40229000.0,6299000.0,-104409000.0,-40934000.0
EBIT,-40229000.0,6299000.0,-104409000.0,-40934000.0
Net Interest Income,-6606000.0,-7221000.0,-4957000.0,-10126000.0
Interest Expense,20291000.0,20760000.0,21422000.0,21984000.0
Interest Income,13685000.0,13539000.0,16465000.0,11858000.0
Normalized Income,-51420047.587574,-16571770.970196,-94846182.506695,-34979979.020312
Net Income From Continuing And Discontinued Operation,-48720000.0,-12335000.0,-98257000.0,-50160000.0
Total Expenses,782596000.0,716508000.0,730030000.0,751322000.0
Rent Expense Supplemental,72863000.0,67646000.0,66891000.0,62981000.0
Total Operating Income As Reported,-54917000.0,-9580000.0,-117427000.0,-32787000.0
Diluted Average Shares,51632000.0,51587000.0,51507000.0,51413000.0
Basic Average Shares,51632000.0,51587000.0,51507000.0,51413000.0
Diluted EPS,-0.94,-0.24,-1.91,-0.98
Basic EPS,-0.94,-0.24,-1.91,-0.98
Diluted NI Availto Com Stockholders,-48720000.0,-12335000.0,-98257000.0,-50160000.0
Net Income Common Stockholders,-48720000.0,-12335000.0,-98257000.0,-50160000.0
Net Income,-48720000.0,-12335000.0,-98257000.0,-50160000.0
Net Income Including Noncontrolling Interests,-48720000.0,-12335000.0,-98257000.0,-50160000.0
Net Income Continuous Operations,-48720000.0,-12335000.0,-98257000.0,-50160000.0
Tax Provision,-11800000.0,-2126000.0,-27574000.0,-12758000.0
Pretax Income,-60520000.0,-14461000.0,-125831000.0,-62918000.0
Other Income Expense,1003000.0,2340000.0,-3447000.0,-32505000.0
Other Non Operating Income Expenses,-2351000.0,-2627000.0,921000.0,-13464000.0
Special Income Charges,0.0,0.0,,-12500000.0
Other Special Charges,,,,12500000.0
Gain On Sale Of Security,3354000.0,4967000.0,-4368000.0,-6541000.0
Net Non Operating Interest Income Expense,-6606000.0,-7221000.0,-4957000.0,-10126000.0
Interest Expense Non Operating,20291000.0,20760000.0,21422000.0,21984000.0
Interest Income Non Operating,13685000.0,13539000.0,16465000.0,11858000.0
Operating Income,-54917000.0,-9580000.0,-117427000.0,-20287000.0
Operating Expense,78155000.0,77490000.0,63023000.0,82441000.0
Other Operating Expenses,48460000.0,49099000.0,34785000.0,50365000.0
Selling General And Administration,29695000.0,28391000.0,28238000.0,32076000.0
Selling And Marketing Expense,29695000.0,28391000.0,28238000.0,32076000.0
Gross Profit,23238000.0,67910000.0,-54404000.0,62154000.0
Cost Of Revenue,704441000.0,639018000.0,667007000.0,668881000.0
Total Revenue,727679000.0,706928000.0,612603000.0,731035000.0
Operating Revenue,664866000.0,644992000.0,548526000.0,650841000.0
