,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,239110442.855395,755688622.754491,-309076285.837776,-271482322.319427
Tax Rate For Calcs,0.304212,0.299401,0.356901,0.314945
Normalized EBITDA,98308000000.0,70524000000.0,68428000000.0,74204000000.0
Total Unusual Items,786000000.0,2524000000.0,-866000000.0,-862000000.0
Total Unusual Items Excluding Goodwill,786000000.0,2524000000.0,-866000000.0,-862000000.0
Net Income From Continuing Operation Net Minority Interest,38608000000.0,23062000000.0,18111000000.0,18471000000.0
Reconciled Depreciation,38219000000.0,36978000000.0,36492000000.0,38622000000.0
Reconciled Cost Of Revenue,208986000000.0,194016000000.0,198908000000.0,197646000000.0
EBITDA,99094000000.0,73048000000.0,67562000000.0,73342000000.0
EBIT,60875000000.0,36070000000.0,31070000000.0,34720000000.0
Net Interest Income,-2656000000.0,515000000.0,-2085000000.0,-6833000000.0
Interest Expense,3678000000.0,4173000000.0,3306000000.0,7058000000.0
Interest Income,1022000000.0,4688000000.0,1221000000.0,225000000.0
Normalized Income,38061110442.85539,21293688622.75449,18667923714.162224,19061517677.680573
Net Income From Continuing And Discontinued Operation,38608000000.0,23062000000.0,18111000000.0,18471000000.0
Total Expenses,381964000000.0,350584000000.0,338882000000.0,349003000000.0
Total Operating Income As Reported,57532000000.0,30855000000.0,31117000000.0,38063000000.0
Diluted Average Shares,873978495.0,874014000.0,874015000.0,873953158.0
Basic Average Shares,873978495.0,874014000.0,874014000.0,873953158.0
Diluted EPS,44.175,26.385,20.72,21.135
Basic EPS,44.175,26.385,20.72,21.135
Diluted NI Availto Com Stockholders,38608000000.0,23063000000.0,18110000000.0,18471000000.0
Net Income Common Stockholders,38608000000.0,23063000000.0,18110000000.0,18471000000.0
Otherunder Preferred Stock Dividend,0.0,-1000000.0,1000000.0,0.0
Net Income,38608000000.0,23062000000.0,18111000000.0,18471000000.0
Minority Interests,-1188000000.0,716000000.0,256000000.0,-478000000.0
Net Income Including Noncontrolling Interests,39796000000.0,22346000000.0,17855000000.0,18949000000.0
Net Income Continuous Operations,39796000000.0,22346000000.0,17855000000.0,18949000000.0
Tax Provision,17400000000.0,9550000000.0,9909000000.0,8712000000.0
Pretax Income,57197000000.0,31897000000.0,27764000000.0,27662000000.0
Net Non Operating Interest Income Expense,-2656000000.0,515000000.0,-2085000000.0,-6833000000.0
Interest Expense Non Operating,3678000000.0,4173000000.0,3306000000.0,7058000000.0
Interest Income Non Operating,1022000000.0,4688000000.0,1221000000.0,225000000.0
Operating Income,57532000000.0,30855000000.0,31118000000.0,38063000000.0
Operating Expense,172978000000.0,156568000000.0,139974000000.0,151357000000.0
Other Operating Expenses,174622000000.0,159063000000.0,155656000000.0,155069000000.0
Gross Profit,230510000000.0,187423000000.0,171092000000.0,189420000000.0
Cost Of Revenue,208986000000.0,194016000000.0,198908000000.0,197646000000.0
Total Revenue,439496000000.0,381439000000.0,370000000000.0,387066000000.0
Operating Revenue,439496000000.0,381439000000.0,370000000000.0,387066000000.0
