,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-3982758.62069,-7222222.222222,-30323308.270677,-13020000.0
Tax Rate For Calcs,0.12069,0.361111,0.278195,0.21
Normalized EBITDA,-88000000.0,283000000.0,-111000000.0,114000000.0
Total Unusual Items,-33000000.0,-20000000.0,-109000000.0,-62000000.0
Total Unusual Items Excluding Goodwill,-33000000.0,-20000000.0,-109000000.0,-62000000.0
Net Income From Continuing Operation Net Minority Interest,-153000000.0,138000000.0,-192000000.0,24000000.0
Reconciled Depreciation,156000000.0,155000000.0,151000000.0,150000000.0
Reconciled Cost Of Revenue,2000000000.0,1893000000.0,2025000000.0,1900000000.0
EBITDA,-121000000.0,263000000.0,-220000000.0,52000000.0
EBIT,-121000000.0,263000000.0,-220000000.0,52000000.0
Net Interest Income,-29000000.0,-24000000.0,-29000000.0,-30000000.0
Interest Expense,53000000.0,47000000.0,46000000.0,45000000.0
Interest Income,24000000.0,23000000.0,17000000.0,15000000.0
Normalized Income,-123982758.62069,150777777.777778,-113323308.270677,72980000.0
Net Income From Continuing And Discontinued Operation,-153000000.0,138000000.0,-192000000.0,24000000.0
Total Expenses,2476000000.0,2351000000.0,2458000000.0,2315000000.0
Rent Expense Supplemental,209000000.0,197000000.0,192000000.0,163000000.0
Total Operating Income As Reported,-156000000.0,235000000.0,-242000000.0,43000000.0
Diluted Average Shares,333300000.0,333600000.0,327600000.0,327800000.0
Basic Average Shares,333300000.0,331900000.0,327600000.0,326400000.0
Diluted EPS,-0.46,0.41,-0.58,0.07
Basic EPS,-0.46,0.41,-0.58,0.07
Diluted NI Availto Com Stockholders,-153000000.0,138000000.0,-192000000.0,24000000.0
Net Income Common Stockholders,-153000000.0,138000000.0,-192000000.0,24000000.0
Net Income,-153000000.0,138000000.0,-192000000.0,24000000.0
Net Income Including Noncontrolling Interests,-153000000.0,138000000.0,-192000000.0,24000000.0
Net Income Continuous Operations,-153000000.0,138000000.0,-192000000.0,24000000.0
Tax Provision,-21000000.0,78000000.0,-74000000.0,-17000000.0
Pretax Income,-174000000.0,216000000.0,-266000000.0,7000000.0
Other Income Expense,-22000000.0,-19000000.0,-107000000.0,-63000000.0
Other Non Operating Income Expenses,11000000.0,1000000.0,2000000.0,-1000000.0
Special Income Charges,-33000000.0,-24000000.0,-112000000.0,-57000000.0
Other Special Charges,33000000.0,24000000.0,112000000.0,57000000.0
Impairment Of Capital Assets,0.0,0.0,,
Restructuring And Mergern Acquisition,25000000.0,24000000.0,17000000.0,8000000.0
Gain On Sale Of Security,,4000000.0,3000000.0,-5000000.0
Net Non Operating Interest Income Expense,-29000000.0,-24000000.0,-29000000.0,-30000000.0
Interest Expense Non Operating,53000000.0,47000000.0,46000000.0,45000000.0
Interest Income Non Operating,24000000.0,23000000.0,17000000.0,15000000.0
Operating Income,-123000000.0,259000000.0,-130000000.0,100000000.0
Operating Expense,476000000.0,458000000.0,433000000.0,415000000.0
Other Operating Expenses,396000000.0,376000000.0,357000000.0,342000000.0
Selling General And Administration,80000000.0,82000000.0,76000000.0,73000000.0
Selling And Marketing Expense,80000000.0,82000000.0,76000000.0,73000000.0
Gross Profit,353000000.0,717000000.0,303000000.0,515000000.0
Cost Of Revenue,2000000000.0,1893000000.0,2025000000.0,1900000000.0
Total Revenue,2353000000.0,2610000000.0,2328000000.0,2415000000.0
Operating Revenue,2201000000.0,2460000000.0,2182000000.0,2267000000.0
