,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.27,0.014728,0.4,0.035747
Normalized EBITDA,438729000.0,362185000.0,310383000.0,2953222000.0
Total Unusual Items,,46063000.0,17408000.0,2006285000.0
Total Unusual Items Excluding Goodwill,,46063000.0,17408000.0,2006285000.0
Net Income From Continuing Operation Net Minority Interest,267166000.0,187973000.0,153842000.0,2458439000.0
Reconciled Cost Of Revenue,2291988000.0,2084780000.0,2237430000.0,2233646000.0
EBITDA,438729000.0,362185000.0,310383000.0,2953222000.0
EBIT,438729000.0,362185000.0,310383000.0,2953222000.0
Net Interest Income,-141311000.0,-127349000.0,-146242000.0,780847000.0
Interest Expense,173982000.0,172613000.0,164164000.0,236952000.0
Interest Income,32671000.0,45264000.0,17922000.0,1017799000.0
Normalized Income,267166000.0,187973000.0,153842000.0,2458439000.0
Net Income From Continuing And Discontinued Operation,267166000.0,187973000.0,153842000.0,2458439000.0
Total Expenses,2615390000.0,2404827000.0,2510384000.0,2524522000.0
Rent Expense Supplemental,337113000.0,318942000.0,297345000.0,264145000.0
Total Operating Income As Reported,409131000.0,271236000.0,295074000.0,219749000.0
Diluted Average Shares,604437877587.0,604437877587.0,604437877587.0,605231854725.0
Basic Average Shares,604437877587.0,604437877587.0,604437877587.0,605231854725.0
Diluted EPS,0.000442,0.000311,0.000255,0.004062
Basic EPS,0.000442,0.000311,0.000255,0.004062
Diluted NI Availto Com Stockholders,267166000.0,187973000.0,153842000.0,2458439000.0
Net Income Common Stockholders,267166000.0,187973000.0,153842000.0,2458439000.0
Net Income,267166000.0,187973000.0,153842000.0,2458439000.0
Minority Interests,-957000.0,1193000.0,744000.0,-715000.0
Net Income Including Noncontrolling Interests,268123000.0,186780000.0,153098000.0,2619172000.0
Net Income Continuous Operations,268123000.0,186780000.0,153098000.0,2619172000.0
Tax Provision,-3376000.0,2792000.0,-6879000.0,97098000.0
Pretax Income,264747000.0,189572000.0,146219000.0,2716270000.0
Other Income Expense,-3073000.0,45685000.0,-2613000.0,1715674000.0
Other Non Operating Income Expenses,-3073000.0,45685000.0,-2613000.0,1715674000.0
Special Income Charges,,0.0,0.0,
Restructuring And Mergern Acquisition,,0.0,0.0,
Gain On Sale Of Security,,46063000.0,17408000.0,3147000.0
Net Non Operating Interest Income Expense,-141311000.0,-127349000.0,-146242000.0,780847000.0
Total Other Finance Cost,,5846000.0,1514000.0,6684000.0
Interest Expense Non Operating,173982000.0,172613000.0,164164000.0,236952000.0
Interest Income Non Operating,32671000.0,45264000.0,17922000.0,1017799000.0
Operating Income,409131000.0,271236000.0,295074000.0,219749000.0
Operating Expense,323402000.0,320047000.0,272954000.0,290876000.0
Other Operating Expenses,323402000.0,320047000.0,272954000.0,290876000.0
Other Taxes,,-6136000.0,,
Selling General And Administration,,304113000.0,266911000.0,336986000.0
Selling And Marketing Expense,,126539000.0,121359000.0,113977000.0
General And Administrative Expense,,177574000.0,145552000.0,336986000.0
Other Gand A,,177574000.0,145552000.0,528326000.0
Salaries And Wages,,,,336986000.0
Gross Profit,732533000.0,591283000.0,568028000.0,510625000.0
Cost Of Revenue,2291988000.0,2084780000.0,2237430000.0,2233646000.0
Total Revenue,3024521000.0,2676063000.0,2805458000.0,2744271000.0
Operating Revenue,3024521000.0,2632877000.0,2771642000.0,2711532000.0
