,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-1149940.0,-825300.41108,-502014.0
Tax Rate For Calcs,0.055,0.056342,0.093
Normalized EBITDA,-2085000.0,-9541000.0,21857000.0
Total Unusual Items,-20908000.0,-14648000.0,-5398000.0
Total Unusual Items Excluding Goodwill,-20908000.0,-14648000.0,-5398000.0
Net Income From Continuing Operation Net Minority Interest,-47560000.0,-35122000.0,-9090000.0
Reconciled Depreciation,15316000.0,16541000.0,15203000.0
Reconciled Cost Of Revenue,118809000.0,118191000.0,125893000.0
EBITDA,-22993000.0,-24189000.0,16459000.0
EBIT,-38309000.0,-24189000.0,1256000.0
Net Interest Income,-12007000.0,-12981000.0,-11205000.0
Interest Expense,12015000.0,13030000.0,11276000.0
Interest Income,8000.0,49000.0,71000.0
Normalized Income,-27801940.0,-21299300.41108,-4194014.0
Net Income From Continuing And Discontinued Operation,-47560000.0,-35122000.0,-9090000.0
Total Expenses,131154000.0,131962000.0,141007000.0
Rent Expense Supplemental,864000.0,835000.0,4083000.0
Total Operating Income As Reported,-40230000.0,-26871000.0,2447000.0
Diluted Average Shares,40688000.0,39932000.0,36378000.0
Basic Average Shares,40688000.0,39932000.0,36378000.0
Diluted EPS,-1.17,-0.88,-0.25
Basic EPS,-1.17,-0.88,-0.25
Diluted NI Availto Com Stockholders,-47560000.0,-35122000.0,-9090000.0
Net Income Common Stockholders,-47560000.0,-35122000.0,-9090000.0
Net Income,-47560000.0,-35122000.0,-9090000.0
Net Income Including Noncontrolling Interests,-47560000.0,-35122000.0,-9090000.0
Net Income Continuous Operations,-47560000.0,-35122000.0,-9090000.0
Tax Provision,-2764000.0,-2097000.0,-930000.0
Pretax Income,-50324000.0,-37219000.0,-10020000.0
Other Income Expense,-21854000.0,-14110000.0,-4981000.0
Other Non Operating Income Expenses,-946000.0,538000.0,417000.0
Special Income Charges,-23767000.0,-16743000.0,-3719000.0
Gain On Sale Of Ppe,6722000.0,,
Write Off,,16743000.0,
Impairment Of Capital Assets,30489000.0,16743000.0,3719000.0
Gain On Sale Of Security,2859000.0,2095000.0,-1679000.0
Net Non Operating Interest Income Expense,-12007000.0,-12981000.0,-11205000.0
Interest Expense Non Operating,12015000.0,13030000.0,11276000.0
Interest Income Non Operating,8000.0,49000.0,71000.0
Operating Income,-16463000.0,-10128000.0,6166000.0
Operating Expense,12345000.0,13771000.0,15114000.0
Other Operating Expenses,999000.0,233000.0,1126000.0
Selling General And Administration,11346000.0,13538000.0,13988000.0
General And Administrative Expense,11346000.0,13538000.0,13988000.0
Other Gand A,11346000.0,13538000.0,13988000.0
Gross Profit,-4118000.0,3643000.0,21280000.0
Cost Of Revenue,118809000.0,118191000.0,125893000.0
Total Revenue,114691000.0,121834000.0,147173000.0
Operating Revenue,94356000.0,103782000.0,128450000.0
