,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-2292371.057477,-5622540.0,-5616804.833107,-74341607.372384
Tax Rate For Calcs,0.22634,0.21,0.266414,0.204624
Normalized EBITDA,-80829000.0,62181000.0,-76420000.0,65289000.0
Total Unusual Items,-10128000.0,-26774000.0,-21083000.0,-363308000.0
Total Unusual Items Excluding Goodwill,-10128000.0,-26774000.0,-21083000.0,-363308000.0
Net Income From Continuing Operation Net Minority Interest,-157552000.0,-2349000.0,-103911000.0,-270664000.0
Reconciled Depreciation,82802000.0,80542000.0,77991000.0,82246000.0
Reconciled Cost Of Revenue,1203603000.0,1134692000.0,1191913000.0,1102574000.0
EBITDA,-90957000.0,35407000.0,-97503000.0,-298019000.0
EBIT,-173759000.0,35407000.0,-97503000.0,-298019000.0
Net Interest Income,-14236000.0,-4473000.0,-28711000.0,-30865000.0
Interest Expense,29886000.0,20435000.0,44145000.0,42278000.0
Interest Income,19910000.0,15962000.0,15434000.0,11413000.0
Normalized Income,-149716371.057477,18802460.0,-88444804.833107,18302392.627616
Net Income From Continuing And Discontinued Operation,-157552000.0,-2349000.0,-103911000.0,-270664000.0
Total Expenses,1437175000.0,1385487000.0,1441086000.0,1333731000.0
Rent Expense Supplemental,204918000.0,198588000.0,182612000.0,149557000.0
Total Operating Income As Reported,-188760000.0,20211000.0,-112395000.0,-305729000.0
Diluted Average Shares,109164000.0,109161000.0,109110000.0,108867000.0
Basic Average Shares,109164000.0,109161000.0,109110000.0,108867000.0
Diluted EPS,-1.44,-0.02,-0.95,-2.49
Basic EPS,-1.44,-0.02,-0.95,-2.49
Diluted NI Availto Com Stockholders,-157552000.0,-2349000.0,-103911000.0,-270664000.0
Net Income Common Stockholders,-157552000.0,-2349000.0,-103911000.0,-270664000.0
Net Income,-157552000.0,-2349000.0,-103911000.0,-270664000.0
Net Income Including Noncontrolling Interests,-157552000.0,-2349000.0,-103911000.0,-270664000.0
Net Income Continuous Operations,-157552000.0,-2349000.0,-103911000.0,-270664000.0
Tax Provision,-46093000.0,17321000.0,-37737000.0,-69633000.0
Pretax Income,-203645000.0,14972000.0,-141648000.0,-340297000.0
Other Income Expense,-10777000.0,-27540000.0,-21625000.0,-367011000.0
Other Non Operating Income Expenses,-649000.0,-766000.0,-542000.0,-3703000.0
Special Income Charges,-10128000.0,-26774000.0,-21083000.0,-363308000.0
Gain On Sale Of Ppe,2250000.0,-802000.0,-7100000.0,-15062000.0
Other Special Charges,12378000.0,25972000.0,13983000.0,348246000.0
Net Non Operating Interest Income Expense,-14236000.0,-4473000.0,-28711000.0,-30865000.0
Total Other Finance Cost,4260000.0,4265000.0,4393000.0,3947000.0
Interest Expense Non Operating,29886000.0,20435000.0,44145000.0,42278000.0
Interest Income Non Operating,19910000.0,15962000.0,15434000.0,11413000.0
Operating Income,-178632000.0,46985000.0,-91312000.0,57579000.0
Operating Expense,233572000.0,250795000.0,249173000.0,231157000.0
Other Operating Expenses,187249000.0,200094000.0,201156000.0,185060000.0
Selling General And Administration,46323000.0,50701000.0,48017000.0,46097000.0
Selling And Marketing Expense,46323000.0,50701000.0,48017000.0,46097000.0
Gross Profit,54940000.0,297780000.0,157861000.0,288736000.0
Cost Of Revenue,1203603000.0,1134692000.0,1191913000.0,1102574000.0
Total Revenue,1258543000.0,1432472000.0,1349774000.0,1391310000.0
Excise Taxes,,,,0.0
Operating Revenue,1233912000.0,1410061000.0,1327473000.0,1369671000.0
