,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-12342000.0,40400000.0,0.0,0.0
Tax Rate For Calcs,0.17,0.4,0.4,0.4
Normalized EBITDA,1356900000.0,553000000.0,1036100000.0,755000000.0
Total Unusual Items,-72600000.0,101000000.0,,
Total Unusual Items Excluding Goodwill,-72600000.0,101000000.0,,
Net Income From Continuing Operation Net Minority Interest,707100000.0,734000000.0,601900000.0,628000000.0
Reconciled Cost Of Revenue,5068800000.0,1154000000.0,,
EBITDA,1284300000.0,654000000.0,1036100000.0,755000000.0
EBIT,1284300000.0,654000000.0,1036100000.0,755000000.0
Normalized Income,767358000.0,673400000.0,601900000.0,628000000.0
Net Income From Continuing And Discontinued Operation,707100000.0,734000000.0,601900000.0,628000000.0
Total Expenses,3784300000.0,3825000000.0,,
Total Operating Income As Reported,798800000.0,755000000.0,702700000.0,755000000.0
Diluted Average Shares,,1487117153.0,1485288213.0,1485288213.0
Basic Average Shares,,1487117153.0,1485288213.0,1485288213.0
Diluted EPS,,0.28,0.405241,0.202
Basic EPS,,0.286,0.405241,0.206
Diluted NI Availto Com Stockholders,707100000.0,734000000.0,626500000.0,628000000.0
Net Income Common Stockholders,707100000.0,734000000.0,601900000.0,628000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,707100000.0,734000000.0,601900000.0,628000000.0
Net Income Including Noncontrolling Interests,718600000.0,734000000.0,608400000.0,628000000.0
Net Income Continuous Operations,697600000.0,755000000.0,608400000.0,628000000.0
Pretax Income,966000000.0,755000000.0,,
Operating Income,899100000.0,654000000.0,634200000.0,755000000.0
Operating Expense,-1284500000.0,2671000000.0,,
Other Operating Expenses,-1431700000.0,2671000000.0,,
Gross Profit,-385400000.0,3325000000.0,,
Cost Of Revenue,5068800000.0,1154000000.0,,
Total Revenue,4683400000.0,4479000000.0,4511900000.0,4846400000.0
Operating Revenue,4683400000.0,4479000000.0,4511900000.0,4846400000.0
