,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.035851,0.125758,0.154918,0.236292
Normalized EBITDA,56894000.0,51355000.0,7503000.0,-26903000.0
Total Unusual Items,,,,0.0
Total Unusual Items Excluding Goodwill,,,,0.0
Net Income From Continuing Operation Net Minority Interest,23478000.0,15419000.0,-22071000.0,-47104000.0
Reconciled Cost Of Revenue,651869000.0,619763000.0,630363000.0,617972000.0
EBITDA,56894000.0,51355000.0,7503000.0,-26903000.0
EBIT,56894000.0,51355000.0,7503000.0,-26903000.0
Net Interest Income,-21309000.0,-23224000.0,-23587000.0,-26502000.0
Interest Expense,32543000.0,33718000.0,33620000.0,34775000.0
Interest Income,11234000.0,10494000.0,10033000.0,8273000.0
Normalized Income,23478000.0,15419000.0,-22071000.0,-47104000.0
Net Income From Continuing And Discontinued Operation,23478000.0,15419000.0,-22071000.0,-47104000.0
Total Expenses,716880000.0,693783000.0,696535000.0,716309000.0
Rent Expense Supplemental,2099000.0,2428000.0,19528000.0,27244000.0
Total Operating Income As Reported,49291000.0,31860000.0,-4704000.0,-35064000.0
Diluted Average Shares,42580000.0,44219000.0,49391000.0,50598000.0
Basic Average Shares,41826000.0,43837000.0,49391000.0,50598000.0
Diluted EPS,0.55,0.35,-0.45,-0.93
Basic EPS,0.56,0.35,-0.45,-0.93
Diluted NI Availto Com Stockholders,23478000.0,15419000.0,-22071000.0,-47104000.0
Net Income Common Stockholders,23478000.0,15419000.0,-22071000.0,-47104000.0
Net Income,23478000.0,15419000.0,-22071000.0,-47104000.0
Net Income Including Noncontrolling Interests,23478000.0,15419000.0,-22071000.0,-47104000.0
Net Income Continuous Operations,23478000.0,15419000.0,-22071000.0,-47104000.0
Tax Provision,873000.0,2218000.0,-4046000.0,-14574000.0
Pretax Income,24351000.0,17637000.0,-26117000.0,-61678000.0
Other Income Expense,-3631000.0,9001000.0,2174000.0,-112000.0
Other Non Operating Income Expenses,-3631000.0,9001000.0,2174000.0,-112000.0
Special Income Charges,,,,0.0
Net Non Operating Interest Income Expense,-21309000.0,-23224000.0,-23587000.0,-26502000.0
Interest Expense Non Operating,32543000.0,33718000.0,33620000.0,34775000.0
Interest Income Non Operating,11234000.0,10494000.0,10033000.0,8273000.0
Operating Income,49291000.0,31860000.0,-4704000.0,-35064000.0
Operating Expense,65011000.0,74020000.0,66172000.0,98337000.0
Other Operating Expenses,65011000.0,74020000.0,66172000.0,98337000.0
Gross Profit,114302000.0,105880000.0,61468000.0,63273000.0
Cost Of Revenue,651869000.0,619763000.0,630363000.0,617972000.0
Total Revenue,766171000.0,725643000.0,691831000.0,681245000.0
Operating Revenue,766171000.0,725643000.0,691831000.0,681245000.0
