,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.246027,0.229234,0.228533,0.231402
Normalized EBITDA,21471000.0,37989000.0,58312000.0,17398000.0
Total Unusual Items,,,,0.0
Total Unusual Items Excluding Goodwill,,,,0.0
Net Income From Continuing Operation Net Minority Interest,7591000.0,20618000.0,38328000.0,7284000.0
Reconciled Depreciation,,22355000.0,19460000.0,18277000.0
Reconciled Cost Of Revenue,195174000.0,191628000.0,204788000.0,181744000.0
EBITDA,21471000.0,37989000.0,58312000.0,17398000.0
EBIT,21471000.0,37989000.0,58312000.0,17398000.0
Net Interest Income,-8923000.0,-8694000.0,-5889000.0,-5560000.0
Interest Expense,11403000.0,11239000.0,8630000.0,7921000.0
Interest Income,2480000.0,2545000.0,2741000.0,2361000.0
Normalized Income,7591000.0,20618000.0,38328000.0,7284000.0
Net Income From Continuing And Discontinued Operation,7591000.0,20618000.0,38328000.0,7284000.0
Total Expenses,229870000.0,225499000.0,238332000.0,212038000.0
Rent Expense Supplemental,13980000.0,13741000.0,13531000.0,14371000.0
Total Operating Income As Reported,19006000.0,35587000.0,55783000.0,15116000.0
Diluted Average Shares,58595646.0,59712048.0,59535045.0,60068175.0
Basic Average Shares,55435386.0,56084759.0,56630656.0,57690217.0
Diluted EPS,0.13,0.35,0.64,0.12
Basic EPS,0.14,0.37,0.68,0.13
Diluted NI Availto Com Stockholders,7591000.0,20618000.0,38328000.0,7284000.0
Net Income Common Stockholders,7591000.0,20618000.0,38328000.0,7284000.0
Net Income,7591000.0,20618000.0,38328000.0,7284000.0
Net Income Including Noncontrolling Interests,7591000.0,20618000.0,38328000.0,7284000.0
Net Income Continuous Operations,7591000.0,20618000.0,38328000.0,7284000.0
Tax Provision,2477000.0,6132000.0,11354000.0,2193000.0
Pretax Income,10068000.0,26750000.0,49682000.0,9477000.0
Other Income Expense,-15000.0,-143000.0,-212000.0,-79000.0
Other Non Operating Income Expenses,-15000.0,-143000.0,-212000.0,-79000.0
Special Income Charges,,,,0.0
Net Non Operating Interest Income Expense,-8923000.0,-8694000.0,-5889000.0,-5560000.0
Interest Expense Non Operating,11403000.0,11239000.0,8630000.0,7921000.0
Interest Income Non Operating,2480000.0,2545000.0,2741000.0,2361000.0
Operating Income,19006000.0,35587000.0,55783000.0,15116000.0
Operating Expense,34696000.0,33871000.0,33544000.0,30294000.0
Other Operating Expenses,27127000.0,25364000.0,23615000.0,22577000.0
Other Taxes,,,,0.0
Selling General And Administration,7569000.0,8507000.0,9929000.0,7717000.0
Selling And Marketing Expense,7569000.0,8507000.0,9929000.0,7717000.0
Gross Profit,53702000.0,69458000.0,89327000.0,45410000.0
Cost Of Revenue,195174000.0,191628000.0,204788000.0,181744000.0
Total Revenue,248876000.0,261086000.0,294115000.0,227154000.0
Operating Revenue,240414000.0,252883000.0,290630000.0,224100000.0
