,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-19437415.881561,-174333093.006489,2420000.0,4063716.814159
Tax Rate For Calcs,0.234186,0.224946,0.242,0.253982
Normalized EBITDA,2014000000.0,2613000000.0,182000000.0,1561000000.0
Total Unusual Items,-83000000.0,-775000000.0,10000000.0,16000000.0
Total Unusual Items Excluding Goodwill,-83000000.0,-775000000.0,10000000.0,16000000.0
Net Income From Continuing Operation Net Minority Interest,1138000000.0,1075000000.0,-194000000.0,843000000.0
Reconciled Cost Of Revenue,10042000000.0,9298000000.0,9241000000.0,8828000000.0
EBITDA,1931000000.0,1838000000.0,192000000.0,1577000000.0
EBIT,1931000000.0,1838000000.0,192000000.0,1577000000.0
Net Interest Income,-211000000.0,-235000000.0,-278000000.0,-291000000.0
Interest Expense,445000000.0,451000000.0,448000000.0,447000000.0
Interest Income,234000000.0,216000000.0,170000000.0,156000000.0
Normalized Income,1201562584.118439,1675666906.993511,-201580000.0,831063716.814159
Net Income From Continuing And Discontinued Operation,1138000000.0,1075000000.0,-194000000.0,843000000.0
Total Expenses,12716000000.0,11802000000.0,11458000000.0,11007000000.0
Rent Expense Supplemental,847000000.0,814000000.0,773000000.0,716000000.0
Total Operating Income As Reported,1739000000.0,1517000000.0,-43000000.0,1377000000.0
Diluted Average Shares,332400000.0,331500000.0,327968615.0,330400000.0
Basic Average Shares,328000000.0,327979189.0,327968615.0,326930321.0
Diluted EPS,3.42,3.24,-0.59152,2.55
Basic EPS,3.47,3.277647,-0.59152,2.578531
Diluted NI Availto Com Stockholders,1138000000.0,1075000000.0,-194000000.0,843000000.0
Net Income Common Stockholders,1138000000.0,1075000000.0,-194000000.0,843000000.0
Net Income,1138000000.0,1075000000.0,-194000000.0,843000000.0
Net Income Including Noncontrolling Interests,1138000000.0,1075000000.0,-194000000.0,843000000.0
Net Income Continuous Operations,1138000000.0,1075000000.0,-194000000.0,843000000.0
Tax Provision,348000000.0,312000000.0,-62000000.0,287000000.0
Pretax Income,1486000000.0,1387000000.0,-256000000.0,1130000000.0
Other Income Expense,-71000000.0,-754000000.0,51000000.0,28000000.0
Other Non Operating Income Expenses,12000000.0,21000000.0,41000000.0,12000000.0
Special Income Charges,-29000000.0,-859000000.0,-14000000.0,-16000000.0
Gain On Sale Of Ppe,-28000000.0,-46000000.0,-14000000.0,-16000000.0
Other Special Charges,,813000000.0,14000000.0,
Impairment Of Capital Assets,,,,0.0
Restructuring And Mergern Acquisition,1000000.0,813000000.0,,0.0
Gain On Sale Of Security,-54000000.0,84000000.0,24000000.0,32000000.0
Net Non Operating Interest Income Expense,-211000000.0,-235000000.0,-278000000.0,-291000000.0
Interest Expense Non Operating,445000000.0,451000000.0,448000000.0,447000000.0
Interest Income Non Operating,234000000.0,216000000.0,170000000.0,156000000.0
Operating Income,1768000000.0,2376000000.0,-29000000.0,1393000000.0
Operating Expense,2674000000.0,2504000000.0,2217000000.0,2179000000.0
Other Operating Expenses,2158000000.0,2017000000.0,1814000000.0,1745000000.0
Selling General And Administration,516000000.0,487000000.0,403000000.0,434000000.0
Selling And Marketing Expense,516000000.0,487000000.0,403000000.0,434000000.0
Gross Profit,4442000000.0,4880000000.0,2188000000.0,3572000000.0
Cost Of Revenue,10042000000.0,9298000000.0,9241000000.0,8828000000.0
Total Revenue,14484000000.0,14178000000.0,11429000000.0,12400000000.0
Operating Revenue,13682000000.0,13364000000.0,10672000000.0,11674000000.0
