,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,-235294.117647,-400000.0
Tax Rate For Calcs,0.289,0.193182,0.235294,0.2
Normalized EBITDA,-31000000.0,89000000.0,-16000000.0,52000000.0
Total Unusual Items,0.0,0.0,-1000000.0,-2000000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-1000000.0,-2000000.0
Net Income From Continuing Operation Net Minority Interest,-32000000.0,71000000.0,-13000000.0,40000000.0
Reconciled Depreciation,13000000.0,12000000.0,11000000.0,9000000.0
Reconciled Cost Of Revenue,856000000.0,791000000.0,806000000.0,790000000.0
EBITDA,-31000000.0,89000000.0,-17000000.0,50000000.0
EBIT,-44000000.0,89000000.0,-17000000.0,50000000.0
Net Interest Income,9000000.0,9000000.0,8000000.0,5000000.0
Interest Expense,1000000.0,1000000.0,0.0,0.0
Interest Income,10000000.0,10000000.0,8000000.0,5000000.0
Normalized Income,-32000000.0,71000000.0,-12235294.117647,41600000.0
Net Income From Continuing And Discontinued Operation,-32000000.0,71000000.0,-13000000.0,40000000.0
Total Expenses,937000000.0,888000000.0,872000000.0,859000000.0
Rent Expense Supplemental,150000000.0,148000000.0,131000000.0,155000000.0
Total Operating Income As Reported,-54000000.0,79000000.0,-25000000.0,45000000.0
Diluted Average Shares,220837983.0,220425659.0,218181386.0,220000000.0
Basic Average Shares,220837983.0,219402647.0,218181386.0,218000000.0
Diluted EPS,-0.14,0.31,-0.06,0.18
Basic EPS,-0.14,0.32,-0.06,0.18
Diluted NI Availto Com Stockholders,-32000000.0,71000000.0,-13000000.0,40000000.0
Net Income Common Stockholders,-32000000.0,71000000.0,-13000000.0,40000000.0
Otherunder Preferred Stock Dividend,0.0,2000000.0,0.0,
Net Income,-32000000.0,71000000.0,-13000000.0,40000000.0
Net Income Including Noncontrolling Interests,-32000000.0,71000000.0,-13000000.0,40000000.0
Net Income Continuous Operations,-32000000.0,71000000.0,-13000000.0,40000000.0
Tax Provision,-13000000.0,17000000.0,-4000000.0,10000000.0
Pretax Income,-45000000.0,88000000.0,-17000000.0,50000000.0
Other Income Expense,,,-1000000.0,-2000000.0
Special Income Charges,0.0,0.0,-1000000.0,-2000000.0
Restructuring And Mergern Acquisition,0.0,0.0,1000000.0,2000000.0
Net Non Operating Interest Income Expense,9000000.0,9000000.0,8000000.0,5000000.0
Interest Expense Non Operating,1000000.0,1000000.0,0.0,0.0
Interest Income Non Operating,10000000.0,10000000.0,8000000.0,5000000.0
Operating Income,-54000000.0,79000000.0,-24000000.0,47000000.0
Operating Expense,81000000.0,97000000.0,66000000.0,69000000.0
Other Operating Expenses,40000000.0,53000000.0,26000000.0,25000000.0
Selling General And Administration,41000000.0,44000000.0,40000000.0,44000000.0
Selling And Marketing Expense,41000000.0,44000000.0,40000000.0,44000000.0
Gross Profit,27000000.0,176000000.0,42000000.0,116000000.0
Cost Of Revenue,856000000.0,791000000.0,806000000.0,790000000.0
Total Revenue,883000000.0,967000000.0,848000000.0,906000000.0
Operating Revenue,862000000.0,945000000.0,830000000.0,887000000.0
