,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-6300000.0,1550000.0,-3645833.333333,97600.0
Tax Rate For Calcs,0.3,0.31,0.260417,0.0061
Normalized EBITDA,47000000.0,60000000.0,-24000000.0,67000000.0
Total Unusual Items,-21000000.0,5000000.0,-14000000.0,16000000.0
Total Unusual Items Excluding Goodwill,-21000000.0,5000000.0,-14000000.0,16000000.0
Net Income From Continuing Operation Net Minority Interest,-39000000.0,6000000.0,-71000000.0,28000000.0
Reconciled Cost Of Revenue,732000000.0,664000000.0,702000000.0,695000000.0
EBITDA,26000000.0,65000000.0,-38000000.0,83000000.0
EBIT,26000000.0,65000000.0,-38000000.0,83000000.0
Net Interest Income,-52000000.0,-48000000.0,-51000000.0,-48000000.0
Interest Expense,60000000.0,57000000.0,58000000.0,55000000.0
Interest Income,8000000.0,9000000.0,7000000.0,7000000.0
Normalized Income,-24300000.0,2550000.0,-60645833.333333,12097600.0
Net Income From Continuing And Discontinued Operation,-39000000.0,6000000.0,-71000000.0,28000000.0
Total Expenses,809000000.0,731000000.0,762000000.0,760000000.0
Rent Expense Supplemental,172000000.0,167000000.0,145000000.0,136000000.0
Total Operating Income As Reported,39000000.0,51000000.0,-31000000.0,60000000.0
Diluted Average Shares,116565141.0,116524400.0,116597668.0,116597700.0
Basic Average Shares,115330126.0,115297400.0,116597668.0,116597700.0
Diluted EPS,-0.3,0.05,-0.6,0.24
Basic EPS,-0.3,0.05,-0.6,0.24
Diluted NI Availto Com Stockholders,-39000000.0,6000000.0,-71000000.0,28000000.0
Net Income Common Stockholders,-39000000.0,6000000.0,-71000000.0,28000000.0
Net Income,-39000000.0,6000000.0,-71000000.0,28000000.0
Net Income Including Noncontrolling Interests,-39000000.0,6000000.0,-71000000.0,28000000.0
Net Income Continuous Operations,-39000000.0,6000000.0,-71000000.0,28000000.0
Tax Provision,5000000.0,2000000.0,-25000000.0,0.0
Pretax Income,-34000000.0,8000000.0,-96000000.0,28000000.0
Other Income Expense,-21000000.0,5000000.0,-14000000.0,16000000.0
Gain On Sale Of Security,-21000000.0,5000000.0,-14000000.0,16000000.0
Net Non Operating Interest Income Expense,-52000000.0,-48000000.0,-51000000.0,-48000000.0
Interest Expense Non Operating,60000000.0,57000000.0,58000000.0,55000000.0
Interest Income Non Operating,8000000.0,9000000.0,7000000.0,7000000.0
Operating Income,39000000.0,51000000.0,-31000000.0,60000000.0
Operating Expense,77000000.0,67000000.0,60000000.0,65000000.0
Other Operating Expenses,28000000.0,29000000.0,25000000.0,23000000.0
Selling General And Administration,49000000.0,38000000.0,35000000.0,42000000.0
Selling And Marketing Expense,49000000.0,38000000.0,35000000.0,42000000.0
Gross Profit,116000000.0,118000000.0,29000000.0,125000000.0
Cost Of Revenue,732000000.0,664000000.0,702000000.0,695000000.0
Total Revenue,848000000.0,782000000.0,731000000.0,820000000.0
Operating Revenue,848000000.0,782000000.0,731000000.0,820000000.0
